,State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Predicted Value
0,AK,2016,April,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0,100,0.0,68.0
1,AK,2016,April,12 month-ending,Cocaine (T40.5),11.0,100,0.0,11.0
2,AK,2016,April,12 month-ending,Number of Drug Overdose Deaths,132.0,100,0.0,132.0
3,AK,2016,April,12 month-ending,Psychostimulants with abuse potential (T43.6),35.0,100,0.0,36.0
4,AK,2016,April,12 month-ending,Number of Deaths,4262.0,100,0.0,
5,AK,2016,April,12 month-ending,Methadone (T40.3),18.0,100,0.0,19.0
6,AK,2016,April,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,100,0.0,75.0
7,AK,2016,April,12 month-ending,Heroin (T40.1),40.0,100,0.0,40.0
8,AK,2016,April,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",95.0,100,0.0,95.0
9,AK,2016,April,12 month-ending,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
10,AK,2016,April,12 month-ending,Percent with drugs specified,93.9393939393939,100,0.0,
11,AK,2016,April,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",11.0,100,0.0,11.0
12,AK,2016,August,12 month-ending,Heroin (T40.1),39.0,100,0.023386342376052003,40.0
13,AK,2016,August,12 month-ending,Methadone (T40.3),19.0,100,0.023386342376052003,20.0
14,AK,2016,August,12 month-ending,Psychostimulants with abuse potential (T43.6),41.0,100,0.023386342376052003,42.0
15,AK,2016,August,12 month-ending,Percent with drugs specified,96.3768115942029,100,0.023386342376052003,
16,AK,2016,August,12 month-ending,Number of Deaths,4276.0,100,0.023386342376052003,
17,AK,2016,August,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",100.0,100,0.023386342376052003,100.0
18,AK,2016,August,12 month-ending,Cocaine (T40.5),12.0,100,0.023386342376052003,13.0
19,AK,2016,August,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0,100,0.023386342376052003,65.0
20,AK,2016,August,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0,100,0.023386342376052003,73.0
21,AK,2016,August,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.023386342376052003,13.0
22,AK,2016,August,12 month-ending,Natural & semi-synthetic opioids (T40.2),55.0,100,0.023386342376052003,56.0
23,AK,2016,August,12 month-ending,Number of Drug Overdose Deaths,138.0,100,0.023386342376052003,138.0
24,AK,2016,December,12 month-ending,Number of Drug Overdose Deaths,129.0,100,0.068886337543054,130.0
25,AK,2016,December,12 month-ending,Natural & semi-synthetic opioids (T40.2),46.0,100,0.068886337543054,47.0
26,AK,2016,December,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",96.0,100,0.068886337543054,97.0
27,AK,2016,December,12 month-ending,Number of Deaths,4355.0,100,0.068886337543054,
28,AK,2016,December,12 month-ending,Heroin (T40.1),49.0,100,0.068886337543054,50.0
29,AK,2016,December,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0,100,0.068886337543054,60.0
30,AK,2016,December,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0,100,0.068886337543054,54.0
31,AK,2016,December,12 month-ending,Cocaine (T40.5),15.0,100,0.068886337543054,16.0
32,AK,2016,December,12 month-ending,Psychostimulants with abuse potential (T43.6),53.0,100,0.068886337543054,54.0
33,AK,2016,December,12 month-ending,Methadone (T40.3),14.0,100,0.068886337543054,15.0
34,AK,2016,December,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",,100,0.068886337543054,
35,AK,2016,December,12 month-ending,Percent with drugs specified,99.22480620155041,100,0.068886337543054,
36,AK,2016,February,12 month-ending,Number of Drug Overdose Deaths,128.0,100,0.0,128.0
37,AK,2016,February,12 month-ending,Psychostimulants with abuse potential (T43.6),31.0,100,0.0,32.0
38,AK,2016,February,12 month-ending,Number of Deaths,4198.0,100,0.0,
39,AK,2016,February,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",12.0,100,0.0,12.0
40,AK,2016,February,12 month-ending,Cocaine (T40.5),,100,0.0,
41,AK,2016,February,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",91.0,100,0.0,91.0
42,AK,2016,February,12 month-ending,Natural & semi-synthetic opioids (T40.2),61.0,100,0.0,61.0
43,AK,2016,February,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0,100,0.0,68.0
44,AK,2016,February,12 month-ending,Percent with drugs specified,91.40625,100,0.0,
45,AK,2016,February,12 month-ending,Methadone (T40.3),15.0,100,0.0,16.0
46,AK,2016,February,12 month-ending,Heroin (T40.1),37.0,100,0.0,37.0
47,AK,2016,February,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0,100,0.0,76.0
48,AK,2016,January,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",66.0,100,0.0,66.0
49,AK,2016,January,12 month-ending,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
50,AK,2016,January,12 month-ending,"Synthetic opioids, excl. methadone (T40.4)",13.0,100,0.0,13.0
51,AK,2016,January,12 month-ending,Methadone (T40.3),13.0,100,0.0,14.0
52,AK,2016,January,12 month-ending,Number of Deaths,4213.0,100,0.0,
53,AK,2016,January,12 month-ending,Number of Drug Overdose Deaths,126.0,100,0.0,126.0
54,AK,2016,January,12 month-ending,Percent with drugs specified,90.4761904761905,100,0.0,
55,AK,2016,January,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",90.0,100,0.0,90.0
56,AK,2016,January,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,100,0.0,75.0
57,AK,2016,January,12 month-ending,Heroin (T40.1),35.0,100,0.0,35.0
58,AK,2016,January,12 month-ending,Cocaine (T40.5),,100,0.0,
59,AK,2016,January,12 month-ending,Psychostimulants with abuse potential (T43.6),27.0,100,0.0,28.0
60,AK,2016,July,12 month-ending,Psychostimulants with abuse potential (T43.6),39.0,100,0.0,40.0
61,AK,2016,July,12 month-ending,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",78.0,100,0.0,78.0
62,AK,2016,July,12 month-ending,Methadone (T40.3),21.0,100,0.0,22.0
63,AK,2016,July,12 month-ending,"Opioids (T40.0-T40.4,T40.6)",107.0,100,0.0,107.0
64,AK,2016,July,12 month-ending,Cocaine (T40.5),13.0,100,0.0,13.0
65,AK,2016,July,12 month-ending,Heroin (T40.1),42.0,100,0.0,42.0
66,AK,2016,July,12 month-ending,Percent with drugs specified,96.50349650349648,100,0.0,
67,AK,2016,July,12 month-ending,Number of Deaths,4269.0,100,0.0,
68,AK,2016,July,12 month-ending,Natural & semi-synthetic opioids (T40.2),60.0,100,0.0,60.0
69,AK,2016,July,12 month-ending,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70.0,100,0.0,70.0
