State,Year,Month,Drug Name,Death Count
AK,2016,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0
AK,2016,April,Cocaine (T40.5),11.0
AK,2016,April,Number of Drug Overdose Deaths,132.0
AK,2016,April,Psychostimulants with abuse potential (T43.6),35.0
AK,2016,April,Number of Deaths,4262.0
AK,2016,April,Methadone (T40.3),18.0
AK,2016,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0
AK,2016,April,Heroin (T40.1),40.0
AK,2016,April,"Opioids (T40.0-T40.4,T40.6)",95.0
AK,2016,April,Natural & semi-synthetic opioids (T40.2),60.0
AK,2016,April,Percent with drugs specified,93.9393939393939
AK,2016,April,"Synthetic opioids, excl. methadone (T40.4)",11.0
AK,2016,August,Heroin (T40.1),39.0
AK,2016,August,Methadone (T40.3),19.0
AK,2016,August,Psychostimulants with abuse potential (T43.6),41.0
AK,2016,August,Percent with drugs specified,96.3768115942029
AK,2016,August,Number of Deaths,4276.0
AK,2016,August,"Opioids (T40.0-T40.4,T40.6)",100.0
AK,2016,August,Cocaine (T40.5),12.0
AK,2016,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0
AK,2016,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0
AK,2016,August,"Synthetic opioids, excl. methadone (T40.4)",12.0
AK,2016,August,Natural & semi-synthetic opioids (T40.2),55.0
AK,2016,August,Number of Drug Overdose Deaths,138.0
AK,2016,December,Number of Drug Overdose Deaths,129.0
AK,2016,December,Natural & semi-synthetic opioids (T40.2),46.0
AK,2016,December,"Opioids (T40.0-T40.4,T40.6)",96.0
AK,2016,December,Number of Deaths,4355.0
AK,2016,December,Heroin (T40.1),49.0
AK,2016,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0
AK,2016,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0
AK,2016,December,Cocaine (T40.5),15.0
AK,2016,December,Psychostimulants with abuse potential (T43.6),53.0
AK,2016,December,Methadone (T40.3),14.0
AK,2016,December,"Synthetic opioids, excl. methadone (T40.4)",
AK,2016,December,Percent with drugs specified,99.22480620155041
AK,2016,February,Number of Drug Overdose Deaths,128.0
AK,2016,February,Psychostimulants with abuse potential (T43.6),31.0
AK,2016,February,Number of Deaths,4198.0
AK,2016,February,"Synthetic opioids, excl. methadone (T40.4)",12.0
AK,2016,February,Cocaine (T40.5),
AK,2016,February,"Opioids (T40.0-T40.4,T40.6)",91.0
AK,2016,February,Natural & semi-synthetic opioids (T40.2),61.0
AK,2016,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",68.0
AK,2016,February,Percent with drugs specified,91.40625
AK,2016,February,Methadone (T40.3),15.0
AK,2016,February,Heroin (T40.1),37.0
